Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,,,Sum of Time(min),Column Labels,,,
SU,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,D5W,,0.88,,0.88
SUA,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYC,,,0.6,0.6
SUS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYCLED,,,0.32,0.32
SUW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYF,,,0.6,0.6
SUWA,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYFLED,,,0.32,0.32
TB,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DIA,,,0.6,0.6
TBDILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,DIALED,,,0.32,0.32
TBDILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,DUO,,,0.6,0.6
TBDLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,EL,,0.88,,0.88
TBDLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ELS,,0.88,,0.88
TBDPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ELW,,0.88,,0.88
TBILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,FL,0.58,0.5,,1.08
TBILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,FLW,0.58,0.5,,1.08
TBIPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,L2,,,0.6,0.6
TBLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,L2A,,,0.6,0.6
TBPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,L2S,,,0.6,0.6
TBW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,L2W,,,0.6,0.6
TBWDILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,L2WA,,,0.6,0.6
TBWDILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LT,,,0.6,0.6
TBWDLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTA,,,0.6,0.6
TBWDLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTLED,,,0.32,0.32
TBWDPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,LTW,,,0.6,0.6
TBWILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTWA,,,0.6,0.6
TBWILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTWLED,,,0.32,0.32
TBWIPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MB,,0.88,,0.88
TBWPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBLED,,0.5,,0.5
TWC,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBS,,0.88,,0.88
TWCW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBSLED,,0.5,,0.5
TWO,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBST,,0.88,,0.88
TWOW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBT,,0.88,,0.88
TWR,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBW,,0.88,,0.88
TWRLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,MBWLED,,0.5,,0.5
TWRW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBWT,,0.88,,0.88
TWRWLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,MBWV,,0.88,,0.88
B6ILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,MBWVLED,,0.5,,0.5
BMR,fluorescent,recessed,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PICD,,0.88,,0.88
BMRLED,led,recessed,itslbl,Single Saw,1,Saw cover blank,0.29,,,,PICI,,0.88,,0.88
BMRLEDPAT,led,recessed,itslbl,Single Saw,1,Saw cover blank,0.29,,,,PICR,,0.88,,0.88
BMRPAT,fluorescent,recessed,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PICWD,,0.88,,0.88
BMRV,fluorescent,recessed,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PICWI,,0.88,,0.88
BMRVLED,led,recessed,itslbl,Single Saw,1,Saw cover blank,0.29,,,,PICWR,,0.88,,0.88
BR,fluorescent,recessed,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PMD,,0.88,,0.88
BRLED,led,recessed,itslbl,Single Saw,1,Saw cover blank,0.29,,,,PMI,,0.88,,0.88
BRLEDPAT,led,recessed,itslbl,Single Saw,1,Saw cover blank,0.29,,,,PMR,,0.88,,0.88
BRPAT,fluorescent,recessed,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PMRLED,,0.5,,0.5
BRV,fluorescent,recessed,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PMWD,,0.88,,0.88
BRVLED,led,recessed,itslbl,Single Saw,1,Saw cover blank,0.29,,,,PMWI,,0.88,,0.88
FL,fluorescent,pendant,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PMWR,,0.88,,0.88
FLW,fluorescent,wall,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PO,,,0.6,0.6
SCR,fluorescent,pendant,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,POLED,,,0.32,0.32
SCRPAT,fluorescent,pendant,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PR,,0.88,,0.88
SCRV,fluorescent,pendant,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PRLED,,0.5,,0.5
SKPLED,fluorescent,pendant,itsfbl,Single Saw,1,Saw cover blank,0.58,,,,PRS,,0.88,,0.88
101C,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PRSLED,,0.5,,0.5
101CA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PRW,,0.88,,0.88
101CS,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PRWLED,,0.5,,0.5
101CW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PW,,0.88,,0.88
101CWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PWLED,,0.5,,0.5
101F,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PWS,,0.88,,0.88
101FA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PWSLED,,0.5,,0.5
101FW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PWW,,0.88,,0.88
101FWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,PWWLED,,0.5,,0.5
202C,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY3,,,0.6,0.6
202CA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY3P,,,0.6,0.6
202CS,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY3S,,,0.6,0.6
202CW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY3W,,,0.6,0.6
202CWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY4,,,0.6,0.6
202F,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY4P,,,0.6,0.6
202FA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY4S,,,0.6,0.6
202FW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY4W,,,0.6,0.6
202FWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY6,,,0.6,0.6
ARC,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY6P,,,0.6,0.6
ARCA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY6S,,,0.6,0.6
ARCW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY6W,,,0.6,0.6
ARCWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY8,,,0.6,0.6
B6R,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,RAY8P,,,0.6,0.6
B6RLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,RAY8S,,,0.6,0.6
B6RLEDPAT,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,RAY8W,,,0.6,0.6
B6RPAT,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCAC,,0.5,,0.5
B6RV,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCD,,0.5,,0.5
B6RVLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SCDI,,0.5,,0.5
BAS,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCDLAC,,0.5,,0.5
BASA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCI ,,0.5,,0.5
BASS,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCILAC,,0.5,,0.5
BASW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCR,0.58,0.5,,1.08
BASWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCRAC,,0.64,,0.64
BBR,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCRLAC,,0.64,,0.64
BBRLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SCRPAT,0.58,0.5,,1.08
BBRLEDPAT,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SCRV,0.58,0.5,,1.08
BBRPAT,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCS,,0.5,,0.5
BBRV,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCSAC,,0.5,,0.5
BBRVLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SCSLAC,,0.5,,0.5
CU,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCWD,,0.5,,0.5
CUA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCWDI,,0.5,,0.5
CUB,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SCWI,,0.5,,0.5
CUBA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SK,,,0.32,0.32
CUBS,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SKPLED,0.58,0.5,,1.08
CUBW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SKSLED,,,0.32,0.32
CUBWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SKVLED,,,0.32,0.32
CUS,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SL,,,0.6,0.6
CUW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SL2HLED,,0.47,,0.47
CUWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SL2LLED,,0.47,,0.47
DAYC,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SLLED,,,0.32,0.32
DAYCLED,led,Grid LED,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SLW,,,0.6,0.6
DAYF,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SLWLED,,,0.32,0.32
DAYFLED,led,Grid LED,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SOL,,0.83,,0.83
DIA,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SOLS,,0.83,,0.83
DIALED,led,Grid LED,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SOLW,,0.83,,0.83
DUO,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,ST020,2.61,2.61,,5.22
L2,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,ST021,2.61,2.61,,5.22
L2A,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,ST022,2.61,2.61,,5.22
L2S,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,ST023,2.61,2.61,,5.22
L2W,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,ST024,2.61,2.61,,5.22
L2WA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STC30,2.61,2.61,,5.22
LT,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STC31,2.61,2.61,,5.22
LTA,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STC32,2.61,2.61,,5.22
LTW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STCO,2.61,2.61,,5.22
LTWA,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STD,2.61,2.61,,5.22
PO,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STFC,2.61,2.61,,5.22
POLED,led,Grid,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,STFD,2.61,2.61,,5.22
RAY3,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STFI,2.61,2.61,,5.22
RAY3P,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STI,2.61,2.61,,5.22
RAY3S,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STIA,2.61,2.61,,5.22
RAY3W,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STM,2.61,2.61,,5.22
RAY4,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPC50,2.61,2.61,,5.22
RAY4P,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPC52,2.61,2.61,,5.22
RAY4S,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPC53,2.61,2.61,,5.22
RAY4W,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO40,2.61,2.61,,5.22
RAY6,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO41,2.61,2.61,,5.22
RAY6P,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO42,2.61,2.61,,5.22
RAY6S,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO43,2.61,2.61,,5.22
RAY6W,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO44,2.61,2.61,,5.22
RAY8,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO50,2.61,2.61,,5.22
RAY8P,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,STPO51,2.61,2.61,,5.22
RAY8S,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SU,,0.88,,0.88
RAY8W,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,SUA,,0.88,,0.88
SK,led,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.32,,,,SUS,,0.88,,0.88
SKSLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SUW,,0.88,,0.88
SKVLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,SUWA,,0.88,,0.88
SL,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TB,,0.88,,0.88
SLLED,led,pendant,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBDILED,,0.5,,0.5
SLW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBDILEDPAT,,0.5,,0.5
SLWLED,led,wall,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBDLED,,0.5,,0.5
TEK12,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBDLEDPAT,,0.5,,0.5
TEK12LED,led,Grid LED,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBDPAT,,0.88,,0.88
TEK6,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBILED,,0.5,,0.5
TEK6LED,led,Grid LED,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBILEDPAT,,0.5,,0.5
WA,fluorescent,Grid,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBIPAT,,0.88,,0.88
WALED,led,Grid,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBLEDPAT,,0.5,,0.5
WB,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBPAT,,0.88,,0.88
WBDI,fluorescent,pendant,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBW,,0.88,,0.88
WBDILED,led,pendant,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBWDILED,,0.5,,0.5
WBDIW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBWDILEDPAT,,0.5,,0.5
WBLED,led,pendant,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBWDLED,,0.5,,0.5
WBR,fluorescent,recessed,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBWDLEDPAT,,0.5,,0.5
WBRLED,led,recessed,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBWDPAT,,0.88,,0.88
WBS,fluorescent,surface,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBWILED,,0.5,,0.5
WBSLED,led,surface,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBWILEDPAT,,0.5,,0.5
WBW,fluorescent,wall,itsfref,Preparation,1,Drill ITS holes(2) on reflector,0.6,,,,TBWIPAT,,0.88,,0.88
WBWLED,led,wall,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TBWPAT,,0.88,,0.88
WBDIWLED,led,pendant,itslref,Preparation,1,Drill ITS hole(1) on reflector,0.32,,,,TEK12,,,0.6,0.6
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TEK12LED,,,0.32,0.32
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TEK6,,,0.6,0.6
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TEK6LED,,,0.32,0.32
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWC,,0.88,,0.88
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWCW,,0.88,,0.88
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWO,,0.88,,0.88
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWOW,,0.88,,0.88
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWR,,0.88,,0.88
STC30,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWRLED,,0.5,,0.5
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWRW,,0.88,,0.88
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,TWRWLED,,0.5,,0.5
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WA,,,0.6,0.6
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WALED,,,0.32,0.32
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WB,,,0.6,0.6
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WBDI,,,0.6,0.6
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WBDILED,,,0.32,0.32
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WBDIW,,,0.6,0.6
STC31,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WBDIWLED,,,0.32,0.32
STC32,led,pendant,ITSLBL,Single Saw,1,saw cover blank,0.29,,,,WBLED,,,0.32,0.32
