 Product ID , Work Center , Length , ID , Activity , Total time (min) ,,,Sum of Total time (min),Column Labels,,,,,,,,,,
101C,Assembly,4,2,try up light reflector,0.17,,,Row Labels,4,8,12,10003,10005,10008,10013,10018,10023,22,Grand Total
101C,Assembly,4,3,try down light reflector,0.17,,,101C,4.34,8.5,12.66,,,,,,,,25.5
101C,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101C,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101C,Assembly,12,2,try up light reflector,0.33,,,101CA,4.34,8.5,12.66,,,,,,,,25.5
101C,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101CA,Assembly,4,3,try down light reflector,0.17,,,101CS,4.34,8.5,12.66,,,,,,,,25.5
101CA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101CA,Assembly,12,2,try up light reflector,0.33,,,101CW,4.34,8.5,12.66,,,,,,,,25.5
101CA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CS,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101CS,Assembly,4,3,try down light reflector,0.17,,,101CWA,4.34,8.5,12.66,,,,,,,,25.5
101CS,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CS,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101CS,Assembly,12,2,try up light reflector,0.33,,,101F,4.34,8.5,12.66,,,,,,,,25.5
101CS,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CW,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101CW,Assembly,4,3,try down light reflector,0.17,,,101FA,4.34,8.5,12.66,,,,,,,,25.5
101CW,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CW,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101CW,Assembly,12,2,try up light reflector,0.33,,,101FW,4.34,8.5,12.66,,,,,,,,25.5
101CW,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CWA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101CWA,Assembly,4,3,try down light reflector,0.17,,,101FWA,4.34,8.5,12.66,,,,,,,,25.5
101CWA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101CWA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101CWA,Assembly,12,2,try up light reflector,0.33,,,202C,4.34,8.5,12.66,,,,,,,,25.5
101CWA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101F,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101F,Assembly,4,3,try down light reflector,0.17,,,202CA,4.34,8.5,12.66,,,,,,,,25.5
101F,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101F,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101F,Assembly,12,2,try up light reflector,0.33,,,202CS,4.34,8.5,12.66,,,,,,,,25.5
101F,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101FA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101FA,Assembly,4,3,try down light reflector,0.17,,,202CW,4.34,8.5,12.66,,,,,,,,25.5
101FA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101FA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101FA,Assembly,12,2,try up light reflector,0.33,,,202CWA,4.34,8.5,12.66,,,,,,,,25.5
101FA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101FW,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101FW,Assembly,4,3,try down light reflector,0.17,,,202F,4.34,8.5,12.66,,,,,,,,25.5
101FW,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101FW,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101FW,Assembly,12,2,try up light reflector,0.33,,,202FA,4.34,8.5,12.66,,,,,,,,25.5
101FW,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101FWA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
101FWA,Assembly,4,3,try down light reflector,0.17,,,202FW,4.34,8.5,12.66,,,,,,,,25.5
101FWA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
101FWA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
101FWA,Assembly,12,2,try up light reflector,0.33,,,202FWA,4.34,8.5,12.66,,,,,,,,25.5
101FWA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202C,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202C,Assembly,4,3,try down light reflector,0.17,,,ARC,4.34,8.5,12.66,,,,,,,,25.5
202C,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202C,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202C,Assembly,12,2,try up light reflector,0.33,,,ARCA,4.34,8.5,12.66,,,,,,,,25.5
202C,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202CA,Assembly,4,3,try down light reflector,0.17,,,ARCW,4.34,8.5,12.66,,,,,,,,25.5
202CA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202CA,Assembly,12,2,try up light reflector,0.33,,,ARCWA,4.34,8.5,12.66,,,,,,,,25.5
202CA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CS,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202CS,Assembly,4,3,try down light reflector,0.17,,,BAS,4.34,8.5,12.66,,,,,,,,25.5
202CS,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CS,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202CS,Assembly,12,2,try up light reflector,0.33,,,BASA,4.34,8.5,12.66,,,,,,,,25.5
202CS,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CW,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202CW,Assembly,4,3,try down light reflector,0.17,,,BASS,4.34,8.5,12.66,,,,,,,,25.5
202CW,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CW,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202CW,Assembly,12,2,try up light reflector,0.33,,,BASW,4.34,8.5,12.66,,,,,,,,25.5
202CW,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CWA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202CWA,Assembly,4,3,try down light reflector,0.17,,,BASWA,4.34,8.5,12.66,,,,,,,,25.5
202CWA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202CWA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202CWA,Assembly,12,2,try up light reflector,0.33,,,CU,4.34,8.5,12.66,,,,,,,,25.5
202CWA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202F,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202F,Assembly,4,3,try down light reflector,0.17,,,CUA,4.34,8.5,12.66,,,,,,,,25.5
202F,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202F,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202F,Assembly,12,2,try up light reflector,0.33,,,CUB,4.34,8.5,12.66,,,,,,,,25.5
202F,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202FA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202FA,Assembly,4,3,try down light reflector,0.17,,,CUBA,4.34,8.5,12.66,,,,,,,,25.5
202FA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202FA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202FA,Assembly,12,2,try up light reflector,0.33,,,CUBS,4.34,8.5,12.66,,,,,,,,25.5
202FA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202FW,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202FW,Assembly,4,3,try down light reflector,0.17,,,CUBW,4.34,8.5,12.66,,,,,,,,25.5
202FW,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202FW,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202FW,Assembly,12,2,try up light reflector,0.33,,,CUBWA,4.34,8.5,12.66,,,,,,,,25.5
202FW,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202FWA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
202FWA,Assembly,4,3,try down light reflector,0.17,,,CUS,4.34,8.5,12.66,,,,,,,,25.5
202FWA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
202FWA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
202FWA,Assembly,12,2,try up light reflector,0.33,,,CUW,4.34,8.5,12.66,,,,,,,,25.5
202FWA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARC,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
ARC,Assembly,4,3,try down light reflector,0.17,,,CUWA,4.34,8.5,12.66,,,,,,,,25.5
ARC,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARC,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
ARC,Assembly,12,2,try up light reflector,0.33,,,L2,4.34,8.5,12.66,,,,,,,,25.5
ARC,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARCA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
ARCA,Assembly,4,3,try down light reflector,0.17,,,L2A,4.34,8.5,12.66,,,,,,,,25.5
ARCA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARCA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
ARCA,Assembly,12,2,try up light reflector,0.33,,,L2S,4.34,8.5,12.66,,,,,,,,25.5
ARCA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARCW,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
ARCW,Assembly,4,3,try down light reflector,0.17,,,L2W,4.34,8.5,12.66,,,,,,,,25.5
ARCW,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARCW,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
ARCW,Assembly,12,2,try up light reflector,0.33,,,L2WA,4.34,8.5,12.66,,,,,,,,25.5
ARCW,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARCWA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
ARCWA,Assembly,4,3,try down light reflector,0.17,,,LT,4.34,8.5,12.66,,,,,,,,25.5
ARCWA,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
ARCWA,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
ARCWA,Assembly,12,2,try up light reflector,0.33,,,LTA,4.34,8.5,12.66,,,,,,,,25.5
ARCWA,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
BAS,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
BAS,Assembly,4,3,try down light reflector,0.17,,,LTW,4.34,8.5,12.66,,,,,,,,25.5
BAS,Assembly,8,2,try up light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
BAS,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
BAS,Assembly,12,2,try up light reflector,0.33,,,LTWA,4.34,8.5,12.66,,,,,,,,25.5
BAS,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
BASA,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
BASA,Assembly,4,3,try down light reflector,0.17,,,RAY3,2,4,6,,,,,,,,12
BASA,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
BASA,Assembly,8,3,try down light reflector,0.25,,,RAY3P,2,4,6,,,,,,,,12
BASA,Assembly,12,2,try up light reflector,0.33,,,Preparation,2,4,6,,,,,,,,12
BASA,Assembly,12,3,try down light reflector,0.33,,,RAY3S,2,4,6,,,,,,,,12
BASS,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
BASS,Assembly,4,3,try down light reflector,0.17,,,RAY3W,2,4,6,,,,,,,,12
BASS,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
BASS,Assembly,8,3,try down light reflector,0.25,,,RAY4,2,4,6,,,,,,,,12
BASS,Assembly,12,2,try up light reflector,0.33,,,Preparation,2,4,6,,,,,,,,12
BASS,Assembly,12,3,try down light reflector,0.33,,,RAY4P,2,4,6,,,,,,,,12
BASW,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
BASW,Assembly,4,3,try down light reflector,0.17,,,RAY4S,2,4,6,,,,,,,,12
BASW,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
BASW,Assembly,8,3,try down light reflector,0.25,,,RAY4W,2,4,6,,,,,,,,12
BASW,Assembly,12,2,try up light reflector,0.33,,,Preparation,2,4,6,,,,,,,,12
BASW,Assembly,12,3,try down light reflector,0.33,,,RAY6,2,4,6,,,,,,,,12
BASWA,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
BASWA,Assembly,4,3,try down light reflector,0.17,,,RAY6P,2,4,6,,,,,,,,12
BASWA,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
BASWA,Assembly,8,3,try down light reflector,0.25,,,RAY6S,2,4,6,,,,,,,,12
BASWA,Assembly,12,2,try up light reflector,0.33,,,Preparation,2,4,6,,,,,,,,12
BASWA,Assembly,12,3,try down light reflector,0.33,,,RAY6W,2,4,6,,,,,,,,12
CU,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
CU,Assembly,4,3,try down light reflector,0.17,,,RAY8,2,4,6,,,,,,,,12
CU,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
CU,Assembly,8,3,try down light reflector,0.25,,,RAY8P,2,4,6,,,,,,,,12
CU,Assembly,12,2,try up light reflector,0.33,,,Preparation,2,4,6,,,,,,,,12
CU,Assembly,12,3,try down light reflector,0.33,,,RAY8S,2,4,6,,,,,,,,12
CUA,Assembly,4,2,try up light reflector,0.17,,,Preparation,2,4,6,,,,,,,,12
CUA,Assembly,4,3,try down light reflector,0.17,,,RAY8W,2,4,6,,,,,,,,12
CUA,Assembly,8,2,try up light reflector,0.25,,,Preparation,2,4,6,,,,,,,,12
CUA,Assembly,8,3,try down light reflector,0.25,,,SK,,,,7.5,7.5,7.5,7.5,7.5,7.5,,45
CUA,Assembly,12,2,try up light reflector,0.33,,,Preparation,,,,7.5,7.5,7.5,7.5,7.5,7.5,,45
CUA,Assembly,12,3,try down light reflector,0.33,,,SL,4.34,8.5,12.66,,,,,,,,25.5
CUB,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUB,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUB,Assembly,8,2,try up light reflector,0.25,,,SL2HLED,4.34,8.5,12.66,,,,,,,,25.5
CUB,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUB,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUB,Assembly,12,3,try down light reflector,0.33,,,SL2LLED,4.34,8.5,12.66,,,,,,,,25.5
CUBA,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBA,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBA,Assembly,8,2,try up light reflector,0.25,,,SLLED,4.34,8.5,12.66,,,,,,,,25.5
CUBA,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBA,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBA,Assembly,12,3,try down light reflector,0.33,,,SLW,4.34,8.5,12.66,,,,,,,,25.5
CUBS,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBS,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBS,Assembly,8,2,try up light reflector,0.25,,,SLWLED,4.34,8.5,12.66,,,,,,,,25.5
CUBS,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBS,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBS,Assembly,12,3,try down light reflector,0.33,,,SU,4.34,8.5,12.66,,,,,,,,25.5
CUBW,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBW,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBW,Assembly,8,2,try up light reflector,0.25,,,SUA,4.34,8.5,12.66,,,,,,,,25.5
CUBW,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBW,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBW,Assembly,12,3,try down light reflector,0.33,,,SUS,4.34,8.5,12.66,,,,,,,,25.5
CUBWA,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBWA,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUBWA,Assembly,8,2,try up light reflector,0.25,,,SUW,4.34,8.5,12.66,,,,,,,,25.5
CUBWA,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUBWA,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUBWA,Assembly,12,3,try down light reflector,0.33,,,SUWA,4.34,8.5,12.66,,,,,,,,25.5
CUS,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUS,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUS,Assembly,8,2,try up light reflector,0.25,,,TWC,4.34,8.5,12.66,,,,,,,,25.5
CUS,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUS,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUS,Assembly,12,3,try down light reflector,0.33,,,TWCW,4.34,8.5,12.66,,,,,,,,25.5
CUW,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUW,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUW,Assembly,8,2,try up light reflector,0.25,,,TWO,4.34,8.5,12.66,,,,,,,,25.5
CUW,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUW,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
CUW,Assembly,12,3,try down light reflector,0.33,,,TWOW,4.34,8.5,12.66,,,,,,,,25.5
CUWA,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUWA,Assembly,4,3,try down light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
CUWA,Assembly,8,2,try up light reflector,0.25,,,TWR,4.34,8.5,12.66,,,,,,,,25.5
CUWA,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
CUWA,Assembly,12,2,try up light reflector,0.33,,,Preparation,4,8,12,,,,,,,,24
