 Fixture Type , Mounting Suspension , Power/ N Power , Work Center , ID , Task , Total Time (min) ,,,,,,,,,,
 Grid , DF , - , Double Saw , CAD 1.00 ,saw drywall flanges,1.11,, Sum of Total Time (min) , Column Labels ,,,,,,,
 Grid , DF , - , CNC , CAD 2.00 ,CNC: hole in drywall flange,1.09,, Row Labels , CNC , Mounting Kits , Hacksaw , Subassembly Lens Grid , Subassembly MS , Double Saw , Press Punch , Grand Total 
 Grid , DF , - , Subassembly Lens Grid , CAD 3.00 ,assembly,2.66,, pendant ,,,,,,,,
 Grid , SM , - , Double Saw , CAD 1.00 ,saw drywall flanges,1.11,, CA ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 Grid , SM , - , CNC , CAD 2.00 ,CNC: hole in drywall flange,1.09,, CTS ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 Grid , SM , - , Subassembly Lens Grid , CAD 3.00 ,assembly,2.66,, ST ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 Grid LED , DF , - , Double Saw , CAD 1.00 ,saw drywall flanges,1.11,, CT9 ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 Grid LED , DF , - , CNC , CAD 2.00 ,CNC: hole in drywall flange,1.09,, CT15 ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 Grid LED , DF , - , Subassembly Lens Grid , CAD 3.00 ,assembly,2.66,, SA ,, CAD 1.70 , CAD 1.46 ,, CAD 8.12 ,, CAD 0.28 , CAD 11.56 
 Grid LED , SM , - , Double Saw , CAD 1.00 ,saw drywall flanges,1.11,, CASL ,, CAD 1.97 ,,,,, CAD 0.07 , CAD 2.04 
 Grid LED , SM , - , CNC , CAD 2.00 ,CNC: hole in drywall flange,1.09,, TB9 ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 Grid LED , SM , - , Subassembly Lens Grid , CAD 3.00 ,assembly,2.66,, TG9 ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 pendant , CA , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,, TB15 ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 pendant , CA , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,, TG15 ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 pendant , CA , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,, CASM ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 pendant , CASL , N Power , Mounting Kits , CAD 1.00 , punch 2 holes in canopy ,0.14,, CTSSM ,, CAD 1.48 ,,,,, CAD 0.14 , CAD 1.62 
 pendant , CASL , Power , Press Punch , CAD 1.00 , punch 1 hole in canopy ,0.07,, recessed ,,,,,,,,
 pendant , CASL , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.76,, SB ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CASL , Power , Mounting Kits , CAD 4.00 , bagging all parts ,1.07,, DF ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CASM , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.49,, DB ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CASM , Power , Press Punch , CAD 1.00 ,punch hole in canopy,0.14,, TB9 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CASM , Power , Mounting Kits , CAD 2.00 ,bagging all parts,0.99,, TG9 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CT15 , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,, TB15 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CT15 , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,, TG15 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CT15 , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,, D ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CT9 , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,, DS ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CT9 , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,, MFTG9 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CT9 , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,, MFTB9 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CTS , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,, MFTG15 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CTS , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,, MFTB15 ,, CAD 1.20 ,,,,,, CAD 1.20 
 pendant , CTS , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,, surface ,,,,,,,,
 pendant , CTSSM , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.49,, SB ,, CAD 0.20 ,,,,,, CAD 0.20 
 pendant , CTSSM , Power , Press Punch , CAD 1.00 ,punch hole in canopy,0.14,, S ,, CAD 0.20 ,,,,,, CAD 0.20 
 pendant , CTSSM , Power , Mounting Kits , CAD 2.00 ,bagging all parts,0.99,, SC ,, CAD 0.20 ,,,,,, CAD 0.20 
 pendant , SA , N Power , Hacksaw , CAD 1.00 , saw stems ,0.73,, wall ,,,,,,,,
 pendant , SA , N Power , Subassembly MS , CAD 2.00 , threaded 2 end of stem ,4.06,, - ,, CAD 0.64 ,,,,,, CAD 0.64 
 pendant , SA , N Power , Press Punch , CAD 3.00 , punch 2 holes in canopy ,0.14,, Grid LED ,,,,,,,,
 pendant , SA , N Power , Mounting Kits , CAD 4.00 , stem assembly & bagging ,0.85,, DF , CAD 1.09 ,,, CAD 2.66 ,, CAD 1.11 ,, CAD 4.86 
 pendant , SA , Power , Hacksaw , CAD 1.00 , saw stems ,0.73,, SM , CAD 1.09 ,,, CAD 2.66 ,, CAD 1.11 ,, CAD 4.86 
 pendant , SA , Power , Subassembly MS , CAD 2.00 , threaded 2 end of stem ,4.06,, Grid ,,,,,,,,
 pendant , SA , Power , Press Punch , CAD 3.00 , punch 2 holes in canopy ,0.14,, DF , CAD 1.09 ,,, CAD 2.66 ,, CAD 1.11 ,, CAD 4.86 
 pendant , SA , Power , Mounting Kits , CAD 4.00 , stem assembly & bagging ,0.85,, SM , CAD 1.09 ,,, CAD 2.66 ,, CAD 1.11 ,, CAD 4.86 
 pendant , ST , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,, Grand Total , CAD 4.36 , CAD 36.79 , CAD 1.46 , CAD 10.64 , CAD 8.12 , CAD 4.44 , CAD 1.89 , CAD 67.70 
 pendant , ST , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,,,,,,,,,,
 pendant , ST , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,,,,,,,,,,
 pendant , TB15 , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.49,,,,,,,,,,
 pendant , TB15 , Power , Press Punch , CAD 1.00 ,punch hole in canopy,0.14,,,,,,,,,,
 pendant , TB15 , Power , Mounting Kits , CAD 2.00 ,bagging all parts,0.99,,,,,,,,,,
 pendant , TB9 , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,,,,,,,,,,
 pendant , TB9 , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,,,,,,,,,,
 pendant , TB9 , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,,,,,,,,,,
 pendant , TG15 , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.49,,,,,,,,,,
 pendant , TG15 , Power , Press Punch , CAD 1.00 ,punch hole in canopy,0.14,,,,,,,,,,
 pendant , TG15 , Power , Mounting Kits , CAD 2.00 ,bagging all parts,0.99,,,,,,,,,,
 pendant , TG9 , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,,,,,,,,,,
 pendant , TG9 , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,,,,,,,,,,
 pendant , TG9 , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,,,,,,,,,,
 recessed , D , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , D , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , D , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , DB , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , DB , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , DB , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , DF , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , DF , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , DF , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , DS , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , DS , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , DS , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , MFTB15 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTB15 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTB15 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , MFTB9 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTB9 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTB9 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , MFTG15 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTG15 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTG15 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , MFTG9 , - , Mounting Kits , CAD 1.00 ,assembly 2 side bracket on top bracket (4pop rivet),0.80,,,,,,,,,,
 recessed , MFTG9 , - , Mounting Kits , CAD 2.00 ,screwed bolt & nut together,0.20,,,,,,,,,,
 recessed , MFTG9 , - , Mounting Kits , CAD 3.00 ,put in bag,0.20,,,,,,,,,,
 recessed , SB , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , SB , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , SB , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TB15 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TB15 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TB15 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TB9 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TB9 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TB9 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TG15 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TG15 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TG15 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , TG9 , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , TG9 , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , TG9 , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 surface , S , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.10,,,,,,,,,,
 surface , S , Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.10,,,,,,,,,,
 surface , SB , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 surface , SB , Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 surface , SC , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 surface , SC , Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.10,,,,,,,,,,
 wall , - , N Power , Mounting Kits , CAD 1.00 , put in bag ,0.32,,,,,,,,,,
 wall , - , Power , Mounting Kits , CAD 1.00 , put in bag ,0.32,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
